Adlam,Adlm
OlCemet,Olck
Ol,Olck
Santali,Olck
OldTurkic,Orkh
OrkhonRunic,Orkh
Oriya,Orya
Odia,Orya
Osage,Osge
Osmanya,Osma
Palmyrene,Palm
PauCinHau,Pauc
OldPermic,Perm
PhagsPa,Phag
InscriptionalPahlavi,Phli
PsalterPahlavi,Phlp
BookPahlavi,Phlv
Phoenician,Phnx
KlingonKLIPIqaD,Piqd
Miao,Plrd
Pollard,Plrd
InscriptionalParthian,Prti
Rejang,Rjng
Redjang,Rjng
Kaganga,Rjng
HanifiRohingya,Rohg
Rongorongo,Roro
Runic,Runr
Samaritan,Samr
Sarati,Sara
OldSouthArabian,Sarb
Saurashtra,Saur
SignWriting,Sgnw
Shavian,Shaw
Shaw,Shaw
Sharada,Shrd
Śāradā,Shrd
Shuishu,Shui
Siddham,Sidd
Siddhaṃ,Sidd
Siddhamātṛkā,Sidd
Khudawadi,Sind
Sindhi,Sind
Sinhala,Sinh
Sogdian,Sogd
OldSogdian,Sogo
SoraSompeng,Sora
Soyombo,Soyo
Sundanese,Sund
SylotiNagri,Sylo
Syriac,Syrc
SyriacEstrangeloVariant,Syre
SyriacWesternVariant,Syrj
SyriacEasternVariant,Syrn
Tagbanwa,Tagb
Takri,Takr
Ṭākrī,Takr
Ṭāṅkrī,Takr
TaiLe,Tale
NewTaiLue,Talu
Tamil,Taml
Tangut,Tang
TaiViet,Tavt
Telugu,Telu
Tengwar,Teng
Tifinagh,Tfng
Berber,Tfng
Tagalog,Tglg
Baybayin,Tglg
Alibata,Tglg
Thaana,Thaa
Thai,Thai
Tibetan,Tibt
Tirhuta,Tirh
Toto,Toto
Ugaritic,Ugar
Vai,Vaii
VisibleSpeech,Visp
WarangCiti,Wara
VarangKshiti,Wara
Wancho,Wcho
Woleai,Wole
OldPersian,Xpeo
SumeroAkkadianCuneiform,Xsux
Yezidi,Yezi
Yi,Yiii
ZanabazarSquare,Zanb
ZanabazarinDörböljinUseg,Zanb
XewteeDörböljinBicig,Zanb
HorizontalSquareScript,Zanb
CodeForInheritedScript,Zinh
MathematicalNotation,Zmth
SymbolsEmojiVariant,Zsye
Symbols,Zsym
Unwritten,Zxxx
Undetermined,Zyyy
Uncoded,Zzzz
